name,exchange,root_ticker,GoogleFin_ticker
Copper Reef Mining Corp.,Canadian Securities Exchange,CZC,CNSX:CZC
Copperbank Resources Corp ,Canadian Securities Exchange,CBK,CNSX:CBK
Credit Suisse Callable ROC Notes linked Callable ROC Notes 09JUL18,Canadian Securities Exchange,CIS.DB.A,CNSX:CIS.DB.A
Crestwell Resources Inc. ,Canadian Securities Exchange,CER,CNSX:CER
Data Deposit Box Inc.  ,Canadian Securities Exchange,DDB,CNSX:DDB
Debut Diamonds Inc.,Canadian Securities Exchange,DDI,CNSX:DDI
Declan Resources Inc.,Canadian Securities Exchange,LAN,CNSX:LAN
Deer Horn Capital Inc.,Canadian Securities Exchange,DHC,CNSX:DHC
Deploy Technologies Inc. ,Canadian Securities Exchange,DEP,CNSX:DEP
Deveron UAS Corp. ,Canadian Securities Exchange,DVR,CNSX:DVR
DGS Minerals Inc. ,Canadian Securities Exchange,DLE,CNSX:DLE
Dizun International Enterprises Inc. ,Canadian Securities Exchange,KDZ,CNSX:KDZ
DNI Metals Inc.,Canadian Securities Exchange,DNI,CNSX:DNI
Drone Delivery Canada Corp. ,Canadian Securities Exchange,FLT,CNSX:FLT
Dundee Sustainable Technologies Inc.,Canadian Securities Exchange,DST,CNSX:DST
EA Education Group Inc.,Canadian Securities Exchange,EA,CNSX:EA
Earth Alive Clean Technologies Inc. ,Canadian Securities Exchange,EAC,CNSX:EAC
Easy Technologies Inc. ,Canadian Securities Exchange,EZM,CNSX:EZM
Enertopia Corp. ,Canadian Securities Exchange,TOP,CNSX:TOP
Enfield Exploration Corp. ,Canadian Securities Exchange,EXP,CNSX:EXP
Eurogas International Inc.,Canadian Securities Exchange,EI,CNSX:EI
European Metals Corp ,Canadian Securities Exchange,ECU,CNSX:ECU
EVI Global Group Developments Corp.,Canadian Securities Exchange,EVI,CNSX:EVI
Evolving Gold Corp. ,Canadian Securities Exchange,EVG,CNSX:EVG
Excalibur Resources Ltd.,Canadian Securities Exchange,XBR,CNSX:XBR
Explorex Resources Inc.,Canadian Securities Exchange,EX,CNSX:EX
Fantasy 6 Sports Inc. ,Canadian Securities Exchange,FYS,CNSX:FYS
Far Resources Ltd. ,Canadian Securities Exchange,FAT,CNSX:FAT
Finore Mining Inc.,Canadian Securities Exchange,FIN,CNSX:FIN
Fortify Resources Inc,Canadian Securities Exchange,FTY,CNSX:FTY
Fox River Resources Corporation ,Canadian Securities Exchange,FOX,CNSX:FOX
Fundamental Applications Corp. ,Canadian Securities Exchange,FUN,CNSX:FUN
GAR Limited ,Canadian Securities Exchange,GL,CNSX:GL
Gencan Capital Inc. ,Canadian Securities Exchange,GCA,CNSX:GCA
Genius Properties Ltd.,Canadian Securities Exchange,GNI,CNSX:GNI
Genovation Capital Corp.,Canadian Securities Exchange,GEC,CNSX:GEC
Glenbriar Technologies Inc.,Canadian Securities Exchange,GTI,CNSX:GTI
